Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Scholarship holder,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Admission grade,Displaced,Previous qualification (grade),Curricular units 2nd sem (evaluations),Application order,Daytime/evening attendance	,Curricular units 2nd sem (credited),Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),GDP,Course,Target
0,0.0,0,0.0,1,0,0,0,127.3,1,122.0,0,5,1,0,0,0,1.74,171,Dropout
6,13.666666666666666,6,14.0,0,0,6,6,142.5,1,160.0,6,1,1,0,0,6,0.79,9254,Graduate
0,0.0,0,0.0,0,0,6,6,124.8,1,122.0,0,5,1,0,0,0,1.74,9070,Dropout
5,12.4,6,13.428571428571429,1,0,6,6,119.6,1,122.0,10,2,1,0,0,8,-3.12,9773,Graduate
6,13.0,5,12.333333333333334,1,0,6,6,141.5,0,100.0,6,1,0,0,0,9,0.79,8014,Graduate
5,11.5,5,11.857142857142858,1,0,5,5,114.8,0,133.1,17,1,0,0,0,10,-0.92,9991,Graduate
8,14.345,7,13.3,1,1,8,7,128.4,1,142.0,8,1,1,0,0,9,-4.06,9500,Graduate
0,0.0,0,0.0,0,0,5,5,113.1,1,119.0,5,4,1,0,0,5,-4.06,9254,Dropout
6,14.142857142857142,6,13.875,1,1,6,6,129.3,0,137.0,7,3,1,0,0,8,-0.92,9238,Graduate
2,13.5,5,11.4,0,0,6,6,123.0,1,138.0,14,1,1,0,0,9,3.51,9238,Dropout
5,14.2,6,12.333333333333334,1,0,6,6,130.6,1,139.0,7,1,1,0,0,6,0.79,9670,Graduate
7,13.214285714285714,7,13.214285714285714,1,1,8,8,119.3,1,136.0,8,1,1,0,0,8,-1.7,9500,Graduate
0,0.0,0,0.0,1,0,6,6,130.2,1,133.0,0,2,1,0,0,6,-1.7,9853,Dropout
5,11.0,6,10.571428571428571,1,1,6,6,111.8,1,110.0,8,1,1,0,0,7,3.51,9254,Graduate
5,12.0,4,13.25,1,1,5,5,137.1,1,149.0,5,1,1,0,0,7,1.74,9085,Graduate
0,0.0,5,13.2,1,0,6,6,120.7,1,127.0,7,1,1,0,0,6,-4.06,9773,Dropout
8,14.545,7,13.30625,1,0,8,7,127.3,1,135.0,8,2,1,0,0,8,-4.06,9500,Graduate
4,12.25,4,12.5,1,0,5,5,136.3,1,137.0,8,1,1,0,0,8,1.74,9130,Graduate
0,0.0,0,0.0,1,1,0,0,120.3,0,122.0,0,3,1,0,0,0,2.02,171,Graduate
7,12.857142857142858,7,12.857142857142858,1,0,8,8,125.5,1,142.0,12,4,1,0,0,12,-1.7,9500,Graduate
6,12.285714285714286,6,13.375,1,1,6,6,114.9,1,125.0,7,4,1,0,0,8,2.02,9670,Graduate
7,14.114285714285714,6,13.296666666666669,1,0,8,7,123.9,0,126.0,9,1,1,0,0,8,2.02,9500,Graduate
6,13.285714285714286,6,11.375,1,0,6,6,116.4,1,115.0,9,2,1,0,0,9,-0.92,9238,Graduate
5,12.333333333333334,5,12.0,1,0,5,5,122.1,1,135.0,6,1,1,0,0,6,-0.92,9147,Graduate
4,13.4,6,12.833333333333334,1,0,6,6,130.0,1,125.0,9,1,1,0,2,7,3.51,9070,Graduate
6,14.375,6,12.666666666666666,1,0,6,6,134.5,1,138.0,8,1,0,0,0,6,1.79,8014,Graduate
5,13.428571428571429,5,12.4,1,0,5,5,131.4,0,130.0,9,1,0,0,0,6,0.79,9991,Graduate
1,10.0,0,0.0,0,0,7,7,102.5,0,130.0,7,1,1,0,0,7,3.51,33,Dropout
0,0.0,0,0.0,1,0,5,5,128.8,1,133.1,0,1,1,0,0,0,0.32,9119,Dropout
2,12.0,1,10.0,1,0,5,5,122.9,0,140.0,8,1,1,0,0,10,-0.92,9147,Dropout
5,11.6,5,11.0,1,0,5,5,113.9,1,120.0,5,1,0,0,0,8,0.32,9991,Graduate
3,12.0,3,11.666666666666666,0,0,6,6,120.0,0,120.0,11,1,1,1,2,13,1.79,9130,Dropout
0,0.0,4,12.75,1,0,5,6,121.1,0,126.0,5,5,1,0,0,6,-1.7,9773,Dropout
5,15.8,5,14.8,1,0,5,5,120.4,1,133.0,5,2,1,0,0,5,3.51,9147,Graduate
7,14.342857142857142,5,13.928,1,0,8,7,100.6,1,103.0,9,6,1,0,0,9,2.02,9500,Graduate
5,13.8,4,13.0,0,0,6,6,121.4,0,120.0,7,1,1,0,0,7,1.79,9773,Dropout
0,0.0,0,0.0,1,0,5,5,109.7,0,133.1,0,1,0,0,0,0,-0.92,9991,Dropout
5,13.2,6,11.666666666666666,1,0,6,6,127.6,1,130.0,8,2,1,0,0,6,2.02,9238,Graduate
7,13.771428571428572,6,13.516666666666666,1,1,8,7,132.4,1,132.0,9,6,1,0,0,8,2.02,9500,Graduate
6,13.285714285714286,6,11.5,1,1,6,6,133.4,0,130.0,7,1,0,2,3,6,1.79,8014,Graduate
6,12.833333333333334,5,12.333333333333334,1,1,6,6,126.1,0,139.0,7,1,1,0,0,7,-1.7,9238,Graduate
6,14.166666666666666,6,13.666666666666666,1,1,6,6,113.5,0,130.0,6,1,1,0,0,6,1.79,9254,Graduate
5,15.8,5,14.714285714285714,1,0,5,5,159.3,0,167.0,5,3,1,0,0,7,0.32,9130,Graduate
5,11.0,5,10.6,1,0,5,5,120.0,0,130.0,10,1,0,0,0,12,-3.12,9991,Dropout
8,13.595,7,13.044444444444444,1,0,8,7,129.1,1,130.0,10,1,1,0,0,9,-4.06,9500,Graduate
0,0.0,0,0.0,1,0,6,6,130.0,0,130.0,6,1,1,0,0,10,1.79,9254,Dropout
10,12.9,5,13.0,1,0,11,6,155.3,1,129.0,13,1,1,5,0,9,1.79,9130,Dropout
8,14.935,8,14.935,1,0,8,8,139.8,1,141.0,8,1,1,0,0,8,-3.12,9500,Graduate
7,12.221428571428572,6,13.133333333333333,1,0,8,7,114.9,0,125.0,12,2,1,0,0,8,-0.92,9500,Graduate
6,12.0,6,12.0,1,1,6,6,131.9,0,130.0,7,1,1,2,3,7,0.79,9238,Graduate
5,11.0,5,11.9,1,0,8,7,126.0,1,133.1,10,1,1,1,2,10,0.79,9500,Dropout
0,0.0,0,0.0,1,1,0,0,128.2,1,139.0,0,3,1,0,0,0,1.74,171,Graduate
6,12.428571428571429,6,12.571428571428571,1,0,6,6,130.0,1,130.0,7,1,1,0,0,8,3.51,9003,Graduate
4,10.75,5,11.2,1,0,5,5,120.1,0,125.0,10,3,1,0,0,8,-0.92,9147,Dropout
8,13.75,7,11.975,1,0,8,7,130.8,0,150.0,8,1,1,0,0,8,0.79,9500,Graduate
0,0.0,0,0.0,1,0,0,0,135.8,1,141.0,0,1,1,0,0,0,-4.06,171,Dropout
1,12.0,3,11.666666666666666,1,0,6,6,111.7,1,118.0,12,4,1,0,0,12,1.79,9254,Dropout
3,12.333333333333334,6,12.333333333333334,1,0,6,6,132.9,1,142.0,11,2,1,0,0,8,1.74,9773,Graduate
3,10.857142857142858,3,10.333333333333334,1,0,5,5,115.5,1,120.0,11,3,1,0,0,8,1.74,9147,Dropout
1,11.0,4,10.5,1,1,6,6,106.0,1,106.0,11,4,1,0,0,8,-3.12,9254,Dropout
6,13.333333333333334,6,13.666666666666666,1,1,6,6,120.3,1,121.0,6,4,1,0,0,6,3.51,9773,Graduate
8,15.055555555555555,7,14.842857142857142,1,1,8,7,130.8,0,150.0,9,4,1,0,0,7,-0.92,9500,Graduate
6,11.666666666666666,6,12.0,1,0,6,6,117.0,0,120.0,6,1,0,0,0,8,1.74,8014,Graduate
5,12.2,5,12.2,1,0,6,6,110.2,1,114.0,7,6,1,0,0,8,1.74,9853,Dropout
0,0.0,0,0.0,1,0,5,1,155.7,1,140.0,0,1,0,0,0,1,1.74,9991,Dropout
10,13.3,6,12.166666666666666,1,0,12,12,180.4,0,160.0,14,1,1,7,6,17,1.79,9003,Dropout
5,11.0,6,11.0,1,0,6,6,110.0,1,130.0,11,1,0,0,0,7,-3.12,8014,Graduate
7,13.08,7,13.08,1,1,8,8,161.0,1,160.0,8,1,1,0,0,8,1.74,9500,Graduate
5,11.6,4,10.5,1,1,5,5,100.0,0,120.0,7,1,1,0,0,7,-3.12,9670,Graduate
5,11.2,6,10.666666666666666,1,0,6,6,117.6,1,124.0,6,1,1,0,0,9,0.32,9070,Graduate
0,0.0,0,0.0,1,0,7,7,100.8,0,133.1,7,1,1,0,0,18,0.79,9500,Dropout
6,13.5,6,14.0,0,0,6,6,105.0,1,133.1,6,2,1,0,0,6,3.51,9773,Graduate
0,0.0,2,12.0,1,0,6,6,100.0,0,133.1,6,1,1,0,0,7,3.51,9130,Dropout
0,0.0,3,12.666666666666666,1,0,6,6,115.5,0,133.1,14,1,1,0,0,12,0.32,9853,Dropout
6,12.333333333333334,8,11.875,1,0,6,8,114.0,0,133.1,7,1,0,0,2,11,-1.7,8014,Graduate
6,13.333333333333334,6,13.666666666666666,1,0,6,6,124.9,1,135.0,6,5,1,0,0,6,3.51,9773,Graduate
8,14.47777777777778,7,13.75,1,1,8,7,120.3,1,132.0,9,5,1,0,0,7,1.79,9500,Graduate
0,0.0,4,11.96,0,0,7,7,111.5,1,115.0,7,4,1,0,0,10,0.79,9500,Dropout
5,13.4,8,12.875,1,0,9,10,128.8,0,130.0,14,1,1,4,7,12,3.51,9085,Dropout
0,0.0,0,0.0,1,0,0,0,110.0,1,133.1,0,4,1,0,0,0,-0.92,171,Graduate
0,0.0,0,0.0,1,0,6,6,113.5,1,130.0,0,1,0,0,0,0,-3.12,8014,Dropout
13,14.23076923076923,18,14.63157894736842,1,0,13,18,160.0,0,133.1,14,1,1,10,13,19,-4.06,9003,Graduate
0,0.0,0,0.0,1,0,6,6,117.4,1,123.0,0,1,1,0,0,0,2.02,9853,Dropout
11,12.272727272727272,10,13.0,1,0,11,10,122.2,0,130.0,11,1,1,5,4,12,2.02,9070,Graduate
0,0.0,0,0.0,1,0,6,6,118.2,1,122.0,0,2,1,0,0,0,-0.92,9238,Dropout
4,13.25,4,14.2,1,0,6,6,106.7,1,113.0,17,1,1,0,0,15,-4.06,9085,Dropout
5,12.3,6,13.266666666666666,1,0,7,7,108.2,1,111.0,10,5,1,0,2,9,1.79,9500,Dropout
6,15.0,6,13.857142857142858,1,0,6,6,136.1,1,142.0,6,1,1,0,0,8,0.79,9238,Graduate
5,12.8,5,13.4,1,0,5,5,139.8,1,131.0,5,1,1,0,0,6,1.74,9085,Graduate
6,12.571428571428571,6,12.666666666666666,1,0,6,6,157.0,1,158.0,7,3,1,0,0,6,1.74,9773,Graduate
6,12.516666666666666,6,12.516666666666666,1,0,7,7,131.0,1,122.0,7,2,1,0,0,7,0.32,9500,Dropout
5,11.4,5,13.142857142857142,1,0,5,5,137.0,0,140.0,6,2,1,0,0,12,-3.12,9085,Graduate
5,14.0,5,12.6,1,0,5,5,121.8,0,127.0,5,1,1,0,0,5,2.02,9147,Graduate
2,11.0,3,11.0,1,0,6,6,131.0,1,133.1,12,1,1,0,0,12,-3.12,9254,Dropout
4,11.25,5,10.8,1,0,5,5,118.6,1,120.0,9,2,1,0,0,8,-0.92,9147,Graduate
0,0.0,0,0.0,1,0,0,0,122.3,0,137.0,0,1,1,0,0,0,1.74,171,Dropout
